question,link,images,answers
RelatedDoes the phrase "this is not legal advice" magically make any legal advice not legal advice?,https://www.quora.com/Does-the-phrase-this-is-not-legal-advice-magically-make-any-legal-advice-not-legal-advice,,I will explain why I use such disclaimers. The point is not whether it actually is legal advice - the point is avoiding any possibility of creating an unintended attorney-client relationship and any liability that might come along with that relationship. In late September I will be on a panel discussing Social Media for Lawyers at the annual conference of the State Bar of California. The following is taken from one of my handouts: Avoiding the Accidental Client I don't want anyone who reads a post to believe that we have created an attorney-client relationship or that s/he can rely on information in the post as legal advice. To some extent my concern is fairly obvious and broadly shared but there also is a practical basis: My professional liability insurance application asks each year whether I send non-engagement letters when declining representation. In effect I want to decline representation preemptively when posting on social media. (Of course ultimately I want readers of my posts to become clients but that process will happen after I restate the disclaimer in my reply to the prospect’s first e-mail inquiry and when appropriate send out an engagement letter.) Each of my posts on LinkedIn Avvo and other third-party sites that has legal content includes the following notice:  Disclaimer: This post does not constitute legal advice and does not establish an attorney-client relationship. On my blog I use a slightly longer notice:  This blog does not provide legal advice and does not create an attorney-client relationship. If you need legal advice please contact an attorney directly. I include the second sentence in this longer form to be more helpful (and less abrupt) and to plant the idea that the reader can contact me (or any other attorney). I include this notice on every page of the blog and at the end of every post. That probably is overkill (I suspect that once on each page suffices) but the belt-and-suspenders approach makes me feel more comfortable. Please note that Avvo (the only legal-specific site in which I routinely participate) provides help in this regard. Section 9 (No Attorney-Client Relationship) of Avvo's Terms of Service (http://www.avvo.com/support/terms) says in relevant part: Information posted or made available on or through the Site including without limitation any responses to legal questions posted on Avvo Answers information provided in Avvo Legal Guides and any other comments opinions recommendations answers analysis references referrals or legally related content or information (collectively "Legal Information") is not intended to create an attorney-client relationship between you and any attorney. Such Legal Information is intended for general informational purposes only and should be used only as a starting point for addressing your legal issues. It is not a substitute for an in-person or telephone consultation with an attorney licensed to practice in your jurisdiction about your specific legal issue and you should not rely upon such Legal Information. You understand that questions and answers or other postings to the Site are not confidential and are not subject to attorney-client privilege.Disclaimer: This answer is not a substitute for professional legal advice. This answer does not create an attorney-client relationship nor is it a solicitation to offer legal advice. If you ignore this warning and convey confidential information in a private message or comment there is no duty to keep that information confidential or forego representation adverse to your interests. Seek the advice of a licensed attorney in the appropriate jurisdiction before taking any action that may affect your rights. If you believe you have a claim against someone consult an attorney immediately otherwise there is a risk that the time allotted to bring your claim may expire. Quora users who provide responses to legal questions are intended third party beneficiaries with certain rights under Quora's Terms of Service (http://www.quora.com/about/tos).
RelatedIs it legal to build a Hindu temple in Israel?,https://www.quora.com/Is-it-legal-to-build-a-Hindu-temple-in-Israel,,The Israeli government officially supports the religions that are practiced by Israeli communities of significant size notably the Jewish Muslim Christian and Druze religions.  Israel has hardly any Hindus.  There is nothing to stop anyone from building a Hindu temple in Israel nor to stop Hindus from worshipping there in an orderly fashion but you can't assume that the temple would enjoy an exemption from taxes as recognized religious institutions do nor that a Hindu wedding in Israel would be recognized by the government as solemnizing a marriage nor that the government would necessaContinue ReadingThe Israeli government officially supports the religions that are practiced by Israeli communities of significant size notably the Jewish Muslim Christian and Druze religions.  Israel has hardly any Hindus.  There is nothing to stop anyone from building a Hindu temple in Israel nor to stop Hindus from worshipping there in an orderly fashion but you can't assume that the temple would enjoy an exemption from taxes as recognized religious institutions do nor that a Hindu wedding in Israel would be recognized by the government as solemnizing a marriage nor that the government would necessarily afford any other consideration in particular.  
RelatedWhich is the oldest Hindu temple which still exists?,https://www.quora.com/Which-is-the-oldest-Hindu-temple-which-still-exists,https://qph.cf2.quoracdn.net/main-qimg-8fae777f89eca6c7d8130661313e9114-lq | https://qph.cf2.quoracdn.net/main-qimg-25fec8899b03f1164e7646aa23d461ff-lq,The Kanchi Kailasanathar Temple This temple is located in Kanchipuram Tamil Nadu India. Kanchi Kailasanathar is a Hindu temple in the Dravidian architectural style. It is dedicated to Lord Shiva and is known for its historical importance. The temple was built from 685-705 AD by a Rajasimha ruler of the Pallava Dynasty. It is one of the earliest structural temples and the largest one built by the Pallavas.It is of stone-built architecture unlike the rock-cut architecture built into hallowed caves or carved into rock outcrops as in Mahabalipuram. The tall gopuram (tower) is to the left and the temple complex is to the right. The temple's foundations are made of granite which could withstand the weight of the temple while the superstructure including the carvings are all made of sandstone.Facts About Kanchi Kailasanathar TempleThe most famous Brihadeshwara Temple in Thanjavur is inspired by Kailasanathar Temple.A passage is there inside the shrine. One has to crawl inside the passage and climb several steps to reach the exit. It is believed that this passage is symbolic of life and death.Kanchipuram one of India’s oldest continuously inhabited cities is often called the land of a thousand temples and beautiful temples are the crowning glory of the magnificent city. If you are visiting Chennai don’t miss this. Tips for the Temple visitIt is around 70 kilometres from Chennai.Temple is open from 6 AM -12 PM and then 4 PM-9 PMIt is a very photogenic temple. Thankfully photography is permitted except inside the sanctum.Thank you for reading!
RelatedCan Hindu temples be relocated?,https://www.quora.com/Can-Hindu-temples-be-relocated,,The answer to this would vary according to the Paddati followed during the installation of the temple and the Prana Pratishta of the deity. I'll try to answer based on my (albeit poor) understanding of the various Paddatis. The first thing to remember is that deities are of two categories: Dhruva Bera and Utsava Vigraha. The first form is immobile and is the main deity. The second are the small festive forms which can be moved about and are the ones paraded around town in chariots. The Dhruva Bera cannot be moved. The Visarjan mantra involves shifting the deity as part of the process of askContinue ReadingThe answer to this would vary according to the Paddati followed during the installation of the temple and the Prana Pratishta of the deity. I'll try to answer based on my (albeit poor) understanding of the various Paddatis. The first thing to remember is that deities are of two categories: Dhruva Bera and Utsava Vigraha. The first form is immobile and is the main deity. The second are the small festive forms which can be moved about and are the ones paraded around town in chariots. The Dhruva Bera cannot be moved. The Visarjan mantra involves shifting the deity as part of the process of asking the deity to vacate the idol. After this the idol is understood to be devoid of the divine principle. Some temples who must transport Utsava Vigrahas for example to another city perform the Shayan ceremony to put the deity to sleep and then transport them in that state. It's possible this could be done for a Dhruva Bera but I am unsure. The only alternative (and the least desirable) is to perform Visarjan shift the idol and then perform Prana Pratishta again. However I have never encountered an example where Prana Pratishta is performed on the same deity after the Visarjan mantra has been used.
RelatedAre Hindu temples in danger?,https://www.quora.com/Are-Hindu-temples-in-danger,https://qph.cf2.quoracdn.net/main-qimg-735e7271fd577306efa3f02233a963e6-lq,
RelatedWhat is the difference between ISKCON temples and Hindu temples?,https://www.quora.com/What-is-the-difference-between-ISKCON-temples-and-Hindu-temples,https://qph.cf2.quoracdn.net/main-qimg-2ffb3ffa8c0bac80cfbf3424d10ee8dc-lq | https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,not much difference but ISKCON temples do not have proper direction facing idol and they dont follow vedic tradition of building temples according to amogh lila prabhu  one of the most famous guru in ISKCON  the temples of this organization are build in such a way to show that bhakti or devotion is bigger than anything  they do not follow proper vedic tradition but still thousands and lakhs of people visit ISKCON temples everyday and there is no bad omen in any ISKCON temple because people enter the temple with devotional mood…they put lord narasimha’s idol in entry of temple so that bad energy will be removed and wont enter the temple  and to change the mood of the visitor into positive and devotional  they decorate the temple with flowers and other things
RelatedWhat are the legal procedures to make a Hindu temple? How can the government support?,https://www.quora.com/What-are-the-legal-procedures-to-make-a-Hindu-temple-How-can-the-government-support,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png,Legally even if it is your land and you give money to construct it. If the temple gains a lot of followers government will take it over. Hindu Temples and places of worship unlike for Muslims and Christians are by rule to be governed by the Government. Mosques and Church don't have this thing. This is why Sadhguru and various other Hindu organisations are campaigning to pass law that remove Hindu Temples and Places of worship from governments control. My Grandfather built a Hanuman Temple in Arah Bihar on our own land and He and we are having a hard time trying it not to be taken over by thContinue ReadingLegally even if it is your land and you give money to construct it. If the temple gains a lot of followers government will take it over. Hindu Temples and places of worship unlike for Muslims and Christians are by rule to be governed by the Government. Mosques and Church don't have this thing. This is why Sadhguru and various other Hindu organisations are campaigning to pass law that remove Hindu Temples and Places of worship from governments control. My Grandfather built a Hanuman Temple in Arah Bihar on our own land and He and we are having a hard time trying it not to be taken over by the Temple Trusts and we will be having a hardtime until a law is passed to forbid it.
RelatedDo Sikhs visit Hindu temple?,https://www.quora.com/Do-Sikhs-visit-Hindu-temple,https://qph.cf2.quoracdn.net/main-qimg-13601a1dddb38221634ed5ea3994933d-lq | https://qph.cf2.quoracdn.net/main-qimg-e6ac6f22ddb30e3be073b6e5b76659ab-lq | https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,Atleast I do. Last night i was at a Hindu Temple. I visit there with my Gujarati coworker on some Sundays. It's run by Gujarati and Punjabi Hindus. 
RelatedHow did the Jagannatha temple get converted from Buddhist temple into Hindu temple?,https://www.quora.com/How-did-the-Jagannatha-temple-get-converted-from-Buddhist-temple-into-Hindu-temple,https://qph.cf2.quoracdn.net/main-qimg-a4b367e80a592c638166f94205ca8afd-lq | https://qph.cf2.quoracdn.net/main-qimg-58276460bdb8da194259ffa777b9206e-pjlq | https://qph.cf2.quoracdn.net/main-qimg-a4b367e80a592c638166f94205ca8afd-lq | https://qph.cf2.quoracdn.net/main-qimg-58276460bdb8da194259ffa777b9206e-pjlq | https://qph.cf2.quoracdn.net/main-qimg-49d12cb8bfc9512a56b69fb7973d6b3c | https://qph.cf2.quoracdn.net/main-qimg-0fc8fe800a65b9598b3917f05de3e99f,I have a simple answer with historical aspects for this question. Even if we go by history then time period of Jagannatha Temple is 1161 CE. Historically if we see then Jagannatha temple was bulit and completed by two kings of Ganga Dynasty.Source - Jagannath Temple Puri - Wikipedia It was first bulit byAnantaverma Chodaganga(1078–1148 CE)Then rebuilt byAnanga Bhima Deva (1174 CE).Now if we follow the religion of both the kings they were Hinduism followers.Source - Eastern Ganga dynasty - Wikipedia So it is highly unlikely of two Hindu kings of medieval era to built a Budhhist temple in a Hindu Continue ReadingI have a simple answer with historical aspects for this question. Even if we go by history then time period of Jagannatha Temple is 1161 CE. Historically if we see then Jagannatha temple was bulit and completed by two kings of Ganga Dynasty.Source - Jagannath Temple Puri - Wikipedia It was first bulit byAnantaverma Chodaganga(1078–1148 CE)Then rebuilt byAnanga Bhima Deva (1174 CE).Now if we follow the religion of both the kings they were Hinduism followers.Source - Eastern Ganga dynasty - Wikipedia So it is highly unlikely of two Hindu kings of medieval era to built a Budhhist temple in a Hindu majority state.Even if we go for construction design  then we find that Jagannatha temple is built according to ancient Hindu temple architecture. Boudha temples are of eliptical roof  where hindu temples are sharpen towards top.A Hindu temple top  Source- hindu temple clipart black and whiteA Budhhist temple top Source- https://www.google.co.in/search?client=ms-android-vivo&tbm=isch&sa=1&ei=lccCWqfEAYbdvgSB1aGwDQ&q=boudha+temple+clipart+black+and+white&oq=boudha+temple+clipart+black+and+white&gs_l=mobile-gws-img.12..30i10k1.107409.110079.0.111667.12.12.0.0.0.0.587.3627.2-7j3j0j1.11.0....0...1.1j4.64.mobile-gws-img..9.3.1265...0j0i7i30k1.333.xrv5NtcWdmA#imgrc=T5APa5Jkq0F43MSo it is a misapprehension that Jagannatha temple was Bhuddisht once and later converted to Hindu. (I am not against or for any religion. But unfactual things must be addressed.) Thank you Debasish Jana for editing my answer and helping me. :)
RelatedWhat do you think of the Karnataka High Court allowing non-Hindus to be part of the Hindu temples’ management?,https://www.quora.com/What-do-you-think-of-the-Karnataka-High-Court-allowing-non-Hindus-to-be-part-of-the-Hindu-temples-management,https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,I personally have mixed opinions regarding this issue actually. I know why the government is quite eager to pass or handover the temple responsibilities to the HindusI think it's due to the conversions or diversion of Temple funds and encroachment of temple lands that is already happening in other South Indian states. For instance Tamil Nadu (encroachment of land) Andhra Pradesh (some of the management staff of Tirupati shrine are Christians and there are conversions happening in the Temple's premisesnoI'm not saying thisbut the Andhra Pradesh ministry person himself) and Kerala(Crores of rupees taken as covid funds from Guruvayoor Shrine). The government fears the same. What court said:Hindu religion has never been so narrowI mean they(the court)tried to explain the flexibility of the Hindu religion. What I personally know:a few Hindu temples in Karnataka especially in Dakshina and Uttara Kannada region are managed completely by Jains of Karnataka who are Tuluvas and Kannadigas among themselves. The best example is Shri Dharamasthala Manjunatheshwara Shrinewhich is completely managed by the Jains of that particular region without a single controversy ever happened. What I can deduce:court is absolutely rightbut also is unable to separate the religion from the statewhen people ask for rightscourt can't give the reason of religion “alone”. This exactly is what J Sai Deepak saysthat how can the verdict (I don't want to criticize it because I do consider the supreme verdict of any court as supreme) speak for the religion regarding the religion rather than the people or community or group asking for rights. One best example: suppose a hypo conditionwhere there are some Quakers or any other religious groupswhen they ask for the court to direct their rightsthe court “can't" blame the religion. If it doesthen what kind of secularism is this which doesn't separate the state and religion and againall the other shrines of other religions are run by the members of respective community. I acknowledge the Court's verdictbut I FAIL to understand this version of secularism.
RelatedIs Jothika legally right in comparing Brihadeeshwara Temple and bad hospital? Doesn't it hurt religious sentiments? Can she be sued in the court of law for this?,https://www.quora.com/Is-Jothika-legally-right-in-comparing-Brihadeeshwara-Temple-and-bad-hospital-Doesnt-it-hurt-religious-sentiments-Can-she-be-sued-in-the-court-of-law-for-this,,Question: Is Jothika legally right in comparing Brihadeeshwara Temple and bad hospital? Doesn't it hurt religious sentiments? Can she be sued in the court of law for this? I felt (people like) Jyothika are completely sidelined and misguided. A legal case against this kind of cases may not stand long in a court of law because as per my understanding she didn’t say anything illegal. A hospital having clean and good environment has nothing to do with the donations coming to temple(or temples) or how well a temple is maintained. We will stay sorry if we keep comparing apples to oranges. While maContinue ReadingQuestion: Is Jothika legally right in comparing Brihadeeshwara Temple and bad hospital? Doesn't it hurt religious sentiments? Can she be sued in the court of law for this? I felt (people like) Jyothika are completely sidelined and misguided. A legal case against this kind of cases may not stand long in a court of law because as per my understanding she didn’t say anything illegal. A hospital having clean and good environment has nothing to do with the donations coming to temple(or temples) or how well a temple is maintained. We will stay sorry if we keep comparing apples to oranges. While maintaining a temple is the responsibility of the temple management maintaining hospital is also responsibility of the hospital management where there is budget and funds and employees who are given this responsibility. Why don’t we question them? There is a donation box in the temple from which Govt. takes a share (almost 40%) for giving salaries to the employees. Temple idol maintenance everyday costs power festival celebrations etc. are all possible with in this donations. Instead of saying “give it to hospitals” we need to ponder over what is happening to the budget given to hospitals for maintaining sanitation? Why no one questions corruption in hospitals? Show the same vigor to question them. That is how one can truly stay secular. Also why don’t these same people question maintaining the burial grounds of the erstwhile rulers? While temple is not getting much from public tax money these burial places are being maintained with the tax money and except for one or two there may not be any burial place (a monument for no reason) which is “profitable”! I do not see anyone making a statement on these so called monuments from such public platforms. As people keep talking about temples that too Hindu temples we always get a feeling of being continuously targeted. These public personalities should also start making statement about the funds that Christian / Islamic Organizations get and then stay secular.
RelatedIs it legal to build a temple in park? I live in UP India and here a temple has been constructed in the public park and thus the space for playing had been reduced we are not allowed to play sports here but RSS sakha takes place.,https://www.quora.com/Is-it-legal-to-build-a-temple-in-park-I-live-in-UP-India-and-here-a-temple-has-been-constructed-in-the-public-park-and-thus-the-space-for-playing-had-been-reduced-we-are-not-allowed-to-play-sports-here-but-RSS-sakha,,It all depends upon the local Authorities and State Governments. As for Uttar Pradesh’s Ruling party being BJP they have certain intentions were they will go ahead and make temple anywhere they want. There is nothing Illegal in such stuff. You can build anything anywhere you like if the government approves. The best you can do is ask the local authority to provide you a Play Ground.
RelatedIs Kaaba a Shiv Temple?,https://www.quora.com/Is-Kaaba-a-Shiv-Temple,https://qph.cf2.quoracdn.net/main-qimg-95c9df51be8cc50d26b9bd6d732a124b-lq | https://qph.cf2.quoracdn.net/main-qimg-7576c4e054a448007499d137d461f699-lq | https://qph.cf2.quoracdn.net/main-qimg-95c9df51be8cc50d26b9bd6d732a124b-lq | https://qph.cf2.quoracdn.net/main-qimg-7576c4e054a448007499d137d461f699-lq | https://qph.cf2.quoracdn.net/main-qimg-2f39b7c2948b73b72030b574f07e83c2-lq | https://qph.cf2.quoracdn.net/main-qimg-2894a6e61fd167dd39bc5dde6317703e-lq,No. It was an Arabian Pagan temple. There are some funny answers here one points at a pillar to prove a point another one claims that Vikramaditya ruled Arabia. Social media played a huge role in fueling this rumour. Memes like this are doing rounds :Truth is Kaaba is not a Shiva temple. Before Mohammad started preaching a new religion the Arabians followed Arabian Paganism - a polytheistic faith system. [1] Kaaba was a holy site for Arabian Pagans and it hosted the idols of the pagan deities. The chief deity was Hubal - the moon god.After the invasion of Mecca Mohammad took over Kaaba and destroyContinue ReadingFootnotes[1] Religion in pre-Islamic Arabia - WikipediaNo. It was an Arabian Pagan temple. There are some funny answers here one points at a pillar to prove a point another one claims that Vikramaditya ruled Arabia. Social media played a huge role in fueling this rumour. Memes like this are doing rounds :Truth is Kaaba is not a Shiva temple. Before Mohammad started preaching a new religion the Arabians followed Arabian Paganism - a polytheistic faith system. [1] Kaaba was a holy site for Arabian Pagans and it hosted the idols of the pagan deities. The chief deity was Hubal - the moon god.After the invasion of Mecca Mohammad took over Kaaba and destroyed the idols present in the Kaaba. Since then it became a holy site for Muslims.Kaaba and Shivalinga rumour : The credit for linking Shivalinga with Arabs goes to Savarkar. In his book “Six glorious epochs of Indian history “ In paragraph 650 he claims Arabians worshipped Shivalinga. [2]Let’s not blame Savarkar entirely for the rumour. The rumour has a long history. The Islamic rumour about Somnath Lingam : In fact early Muslims thought that the Idol of Somnath Linga was the statue of Arabian pagan goddess. Romilla Thapar wrote : [3] “A major poet of the eastern Islamic world Farrukhi Sistani who claims that he accompanied Mahmud to Somanatha provides a fascinating explanation for the breaking of the idol. This explanation has been largely dismissed by modern historians as too fanciful but it has a significance for the assessment of iconoclasm. According to him the idol was not of a Hindu deity but of a pre-Islamic Arabian goddess. He tells us that the name Somnat (as it was often written in Persian) is actually Su-manat the place of Manat. We know from the Qur'an that Lat Uzza and Manat were the three pre-Islamic goddesses widely worshipped and the destruction of their shrines and images it was said had been ordered by the Prophet Mohammad. Al-lat Manat and Al-Uzza :Two were destroyed but Manat was believed to have been secreted away to Gujarat and installed in a place of worship. According to some descriptions Manat was an aniconic block of black stone so the form could be similar to a lingam. This story hovers over many of the Turko-Persian accounts some taking it seriously others being less emphatic and insisting instead that the icon was of a Hindu deity. THE identification of the Somanatha idol with that of Manat has little historical credibility. There is no evidence to suggest that the temple housed an image of Manat. Nevertheless the story is significant to the reconstruction of the aftermath of the event since it is closely tied to the kind of legitimation which was being projected for Mahmud.”It is interesting to note that early Muslims believed the rumour that Somnath Idol was that of Al-manat’s idol. While today’s far right Hindus believe Kaaba was a Shiva temple which hosted a Linga.Footnotes[1] Religion in pre-Islamic Arabia - Wikipedia[2] https://savarkar.org/en/pdfs/6_Glorious_Epochs_of_Indian_History.pdf[3] txt_thapar_somnath
RelatedWhy will Hindu temples charging money for entry be legally identified as commercial premises?,https://www.quora.com/Why-will-Hindu-temples-charging-money-for-entry-be-legally-identified-as-commercial-premises,,To augment it’s source revenue. Temple may or may not have sufficient funds for conducting poojas special poojas administrative expenses. For this purpose collection of fees is inevitable
RelatedDo Buddhists visit Hindu temples?,https://www.quora.com/Do-Buddhists-visit-Hindu-temples,https://qph.cf2.quoracdn.net/main-qimg-b5e53a504aed8c7f3f7a103bcdaeeda4-lq | https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,Some Buddhists visit Hindu temples; others don’t. It’s a common practice in Sri Lanka. I talked to many Buddhists there about various spiritual topics and they told me that it’s the norm for Sri Lankan Buddhists to visit Hindu temples even doing their main annual pilgrimages to a Hindu temple (Kataragama). I myself visited multiple joint Buddhist-Hindu temple complexes where visitors Buddhist and Hindu alike went from shrine to shrine praying or meditating at both the Buddhist and Hindu shrines. This is very much commonplace in Sri Lanka. It’s also common in Nepal where a large portion of the population identifies as both Hindu and Buddhist and consider them to be one religion not two. They visit each other’s temples without discrimination all the time. There are joint Hindu-Buddhist sites like this in India too from Gaya to Sarnath and other smaller ones in villages here and there. Many Buddhists live in countries where Hindu temples are rare so of course they don’t visit them.
RelatedWhat makes Hindu temples stunning?,https://www.quora.com/What-makes-Hindu-temples-stunning,,There are many reasons. For each person the temple serves a specific purpose.For a devotee who performs deity worship at home some of the 16 upacharas require enormous efforts to concentrate and meditate. The big idol in the temple solves that and makes it easy for eyes.For religious people it works as place of God where their prayers/requests are heard/accepted.For cultural people it works as a opportunity to express their cultural talent. For example trained singers/dancers perform in the temple premises or expression of arts/sculpture on the walls/gopuram etc.For a society it works asContinue ReadingThere are many reasons. For each person the temple serves a specific purpose.For a devotee who performs deity worship at home some of the 16 upacharas require enormous efforts to concentrate and meditate. The big idol in the temple solves that and makes it easy for eyes.For religious people it works as place of God where their prayers/requests are heard/accepted.For cultural people it works as a opportunity to express their cultural talent. For example trained singers/dancers perform in the temple premises or expression of arts/sculpture on the walls/gopuram etc.For a society it works as people gathering forgetting all the differences and being as God’s own children spreading love and caring.For students it works as an educational institution. All Siva temples have to have a mandatory sanskrit grammar mandapa where grammar was taught.For poor it works as a place where they are fed daily without having to beg or struggle for food.For service oriented it works as a great opportunity to service God and Mankind together.Having so many facets to one location is always stunning to say the least. Hope this helps. God bless!
RelatedWhy are there monster statues in front of many temples in Karnataka?,https://www.quora.com/Why-are-there-monster-statues-in-front-of-many-temples-in-Karnataka,https://qph.cf2.quoracdn.net/main-qimg-20e57d6b9aff865de920ef0b74845d6a.webp | https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,Karnataka is a land having a vast cultural heritage. It has many temples and lots of palaces. You have Mysore Hampi Hubli Badami amongst other places which are world heritage sites and well-renown for the amount of rich history this place has. Now many temples have different statues in front of their temples for various reasons. The Chamundeshwari Temple on the Chamundi Hills in Mysore has a Mahishasura Statue. This is to signify that behind it lies the temple of Godess Chamundeshwari who killed Mahishasura and freed the people of the region of his atrocities. The area is now known as Mysore after the demon king Mahishasura. Different temples have different reasons for the same. Many new temples have a demon's face on its walls also to ward of evil eye.
RelatedHow is the ISKCON temple different from other temples in India? What are its characteristics?,https://www.quora.com/How-is-the-ISKCON-temple-different-from-other-temples-in-India-What-are-its-characteristics,,Generally speaking the ISKCON Temples are Huge and Magnificent and are built in Large & sprawling areas with Granite stones Marble flooring and Modern amenities.ISKCON is a Very Powerful organization and it has been around for a very long time since the Year 1966 and it has many Intelligent Students and Powerful people who command respect in the society.The ISKCON is an International Organization set up by “Srila Prabhupada” to Propagate Krishna consciousness worldwide.The Lighting effects and Acoustics are also exemplary in ISKCON temples wherever I have visited.They distribute Free PrasadaContinue ReadingGenerally speaking the ISKCON Temples are Huge and Magnificent and are built in Large & sprawling areas with Granite stones Marble flooring and Modern amenities.ISKCON is a Very Powerful organization and it has been around for a very long time since the Year 1966 and it has many Intelligent Students and Powerful people who command respect in the society.The ISKCON is an International Organization set up by “Srila Prabhupada” to Propagate Krishna consciousness worldwide.The Lighting effects and Acoustics are also exemplary in ISKCON temples wherever I have visited.They distribute Free Prasadam to everybody who go to visit an ISKCON temple as a devotee.There are ISKCON Book stalls available with Fat Books full of information and Colour pictures yet priced affordably which is a rarity these days.ISKCON temples also give “Akshara Dasoha” or Free Food for school children everyday and they promote Education by giving nutrition to the needy students.ISKCON Temples also conduct Chanting sessions of “Hare Rama and Hare Krishna” and also several Discourses Bhajans and Prayers en masse on a Daily basis.ISKCON Temples are more Broad minded and they Welcome people from All Religions Castes from Different Nations and Ethnicities without Discrimination of any kind.ISKCON Temples have been set up across the Major Lord Krishna Pilgrimage centers in India like Mathura Puri Tirupati etc and also in Cities like Mumbai Delhi Jaipur Bengaluru Hyderabad Pune Kanpur etc. Courtesy : ISKCON Temples In India | Waytoindia.comOverall there are 550 plus ISKCON Temples worldwide.
RelatedWhich Hindu temple properties belong to whom Hindus the government or the deity of the temple?,https://www.quora.com/Which-Hindu-temple-properties-belong-to-whom-Hindus-the-government-or-the-deity-of-the-temple,,King of India but run operate and maintained by local approved people. There is no King of India right now thus govt looking to capture as many temples. The temples by law should belong to Hindu trust of that land. If there is no King the temples belong to Lord Vishnu himself.
RelatedDo Muslims visit Hindu temples?,https://www.quora.com/Do-Muslims-visit-Hindu-temples,,I do
RelatedWhich is the biggest Hindu temple and a Buddhist temple?,https://www.quora.com/Which-is-the-biggest-Hindu-temple-and-a-Buddhist-temple,,Angkor Wat is a temple complex in Cambodia and the largest religious monument in the world. It was originally built as a Hindu temple dedicated to the god Vishnu but later became a Buddhist temple. The temple is known for its impressive sandstone bas-reliefs which depict scenes from Hindu mythology as well as its beautiful towers and galleries. Angkor Wat is located in the city of Siem Reap which is a popular tourist destination in Cambodia
RelatedHow do Hindu temples differ from Buddhist or Jain temples?,https://www.quora.com/How-do-Hindu-temples-differ-from-Buddhist-or-Jain-temples,https://qph.cf2.quoracdn.net/main-qimg-bd51a2939e48065c8c1ab0341d6b8425,“Hindu” means Indian. So asking how are “Hindu temples” different from Bauddha or Jaina temples is meaningless. After all Bauddha and Jaina are Hindu darsana with their own sampradaya. You could instead reword it to: How are Bauddha and Jaina temples different to the temples of the other sampradaya like Sikhi Shaiva Shakta Vaishnava and so on. You could say that there is no difference since all temples are a focal point for the community which they serve. And the purpose of all temples is to educate you “about yourself” and by inference your dharma! However there is an essential difference. Vaishnava temples for example educate the masses through a visual representation of the nature of reality with the sanctum containing the material representation or vigraha of the focal point of practices which is nothing but a “higher human ideal” that defines a path to the ultimate objective which is moksha. It also educates you on the other ideals and qualities (represented by other deities) essential to realizing your objective through mnemonic narratives (folklore) associated with the main deity. Bauddha and Jaina temples instead focus on educating scholars (monks) of their tradition on the teachings of the Buddha and the Jaina Tirthankaras and are hence usually part of a larger complex that houses the students and teachers. While the education in Vaishnava temples involves passive learning those in Bauddha and Jaina temples involve active learning. Active learning for scholars in the Vaishnava tradition happens only in a Gurukula.
RelatedDo Hindu temples have rights on land?,https://www.quora.com/Do-Hindu-temples-have-rights-on-land,,They were funded by ancient kings and wealthy citizens with adequate lands to support the commonwealth of the village or town and all people to participate in local functions. They also took care of education food distribution during shortfalls music dance and plays at festivals upkeep of temples deities and infrastructure banking and voyages to distant lands for trade in metal works steel and zinc and spices silk and fabrics indigo jute etc. They produced the lunisolar Calender with dates for lunar and solar eclipses dates of favorable monsoons for sowing crops etc. As in any privatContinue ReadingThey were funded by ancient kings and wealthy citizens with adequate lands to support the commonwealth of the village or town and all people to participate in local functions. They also took care of education food distribution during shortfalls music dance and plays at festivals upkeep of temples deities and infrastructure banking and voyages to distant lands for trade in metal works steel and zinc and spices silk and fabrics indigo jute etc. They produced the lunisolar Calender with dates for lunar and solar eclipses dates of favorable monsoons for sowing crops etc. As in any private enterprise temples were run by citizen councils and guilds.
RelatedWhy are Tamil temples different from temples in Karnataka?,https://www.quora.com/Why-are-Tamil-temples-different-from-temples-in-Karnataka,,So as the temples of ROI and Tamils differ. Its bcoz of the different tastes of rulers of that time in different states. Temples of One state differs from that of the Others if you visit Temples of Kerala they look similar to that of Houses than that of the Temples. Here also in 70’s & 80’s the temples in villages looked similar to homes built with Red Bricks or other building materials and upon renovation they changed to similar that of Bigger temples build with Stones.
RelatedWhy are Karnataka temples famous?,https://www.quora.com/Why-are-Karnataka-temples-famous,https://qph.cf2.quoracdn.net/main-qimg-5df6778011e39c836949db7783b05835,For their intricate sculptures. By nature the Kannadigas are very humble and highly devoted people to God. The upkeep and maintananceof the temple are perfect. They perform all rituals smoothly. The heritage is preserved exceptionally well . The Kannada Brahmins get their due respect from the society.Luckily they have not encouraged people who make money by professing atheism as in Tamil Nadu.. Adi Shankaran appointed Kannada priests to do the daily rituals in Kedarnath and Badrinath. That rule is being followed to this day. Deep South at the famous Tiruchendur Temple Karnataka Brhamins are the chief priests. Only they have the right to touch the main idols . So traditionally due non corruption due respect to fellow human beings and the great regard for cleaniness Karnataka temples are famous .
